lat,lon,ele,t,timestamp,tracknum
38.587825,-109.560483,1224.179,1224593437.0,2008-10-21T14:50:37Z,0
38.588658,-109.560827,1224.461,1224593495.0,2008-10-21T14:51:35Z,1
38.588656,-109.561011,1224.624,1224593511.0,2008-10-21T14:51:51Z,1
38.588703,-109.560967,1224.637,1224593513.0,2008-10-21T14:51:53Z,1
38.589005,-109.561143,1224.811,1224593518.0,2008-10-21T14:51:58Z,1
38.589951,-109.562149,1224.297,1224593527.0,2008-10-21T14:52:07Z,1
38.591733,-109.563790,1224.904,1224593539.0,2008-10-21T14:52:19Z,1
38.593133,-109.565415,1225.747,1224593549.0,2008-10-21T14:52:29Z,1
38.594070,-109.566763,1225.424,1224593558.0,2008-10-21T14:52:38Z,1
38.595697,-109.569031,1225.303,1224593573.0,2008-10-21T14:52:53Z,1
38.597619,-109.571823,1224.987,1224593592.0,2008-10-21T14:53:12Z,1
38.599069,-109.573323,1223.357,1224593604.0,2008-10-21T14:53:24Z,1
38.601058,-109.575225,1221.926,1224593620.0,2008-10-21T14:53:40Z,1
38.603918,-109.577922,1220.517,1224593643.0,2008-10-21T14:54:03Z,1
38.606000,-109.579966,1221.457,1224593660.0,2008-10-21T14:54:20Z,1
38.606378,-109.580597,1221.696,1224593664.0,2008-10-21T14:54:24Z,1
38.606720,-109.582308,1221.237,1224593673.0,2008-10-21T14:54:33Z,1
38.606624,-109.584750,1220.917,1224593684.0,2008-10-21T14:54:44Z,1
38.606349,-109.588164,1221.751,1224593698.0,2008-10-21T14:54:58Z,1
38.606090,-109.590086,1224.574,1224593706.0,2008-10-21T14:55:06Z,1
38.605958,-109.591055,1226.338,1224593710.0,2008-10-21T14:55:10Z,1
38.605604,-109.593352,1226.680,1224593721.0,2008-10-21T14:55:21Z,1
38.605079,-109.597036,1224.599,1224593740.0,2008-10-21T14:55:40Z,1
38.605158,-109.598794,1227.701,1224593748.0,2008-10-21T14:55:48Z,1
38.605193,-109.599017,1227.529,1224593749.0,2008-10-21T14:55:49Z,1
38.605699,-109.601070,1228.331,1224593758.0,2008-10-21T14:55:58Z,1
38.606635,-109.602776,1230.394,1224593766.0,2008-10-21T14:56:06Z,1
38.607916,-109.604321,1233.445,1224593774.0,2008-10-21T14:56:14Z,1
38.608242,-109.604722,1234.265,1224593776.0,2008-10-21T14:56:16Z,1
38.609895,-109.606760,1236.979,1224593787.0,2008-10-21T14:56:27Z,1
38.610682,-109.607675,1236.563,1224593794.0,2008-10-21T14:56:34Z,1
38.610990,-109.608017,1236.468,1224593799.0,2008-10-21T14:56:39Z,1
38.611214,-109.607985,1237.396,1224593803.0,2008-10-21T14:56:43Z,1
38.611322,-109.607843,1237.305,1224593805.0,2008-10-21T14:56:45Z,1
38.611811,-109.607847,1236.970,1224593811.0,2008-10-21T14:56:51Z,1
38.611871,-109.607942,1236.950,1224593812.0,2008-10-21T14:56:52Z,1
38.612177,-109.608526,1238.784,1224593817.0,2008-10-21T14:56:57Z,1
38.612441,-109.609061,1238.737,1224593821.0,2008-10-21T14:57:01Z,1
38.613796,-109.610800,1241.932,1224593835.0,2008-10-21T14:57:15Z,1
38.615177,-109.612771,1244.686,1224593850.0,2008-10-21T14:57:30Z,1
38.615874,-109.614078,1245.997,1224593861.0,2008-10-21T14:57:41Z,1
